,Watch Name,Watch Price,MRP Price,Discout,Description
0,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360...","₹1,299","₹8,999",85% off,Sponsored
1,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Z...","₹1,499","₹4,499",66% off,Sponsored
2,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"₹1,099","₹5,999",81% off,"Blue Strap, Regular"
3,"Fastrack Revoltt XR1 1.38"" Round HD Display, SingleSync...","₹1,299","₹3,995",67% off,"Black Strap, Free Size"
4,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, W...","₹1,099","₹4,999",78% off,"Pink Strap, Regular"
5,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"₹1,099","₹5,999",81% off,"Deep Wine Strap, Regular"
6,"CMF by Nothing Watch Pro, 1.96 AMOLED display, BT calli...","₹3,299","₹5,999",45% off,"Dark Grey Strap, Free Size"
7,Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Blu...,"₹1,099","₹9,999",89% off,Sponsored
8,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"₹1,099","₹3,995",72% off,"Black Strap, Free Size"
9,"Fire-Boltt Ultimate 1.39"" Stainless Steel Luxury Blueto...","₹1,399","₹14,999",90% off,"Black Strap, Free Size"
10,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,399","₹8,499",83% off,Sponsored
11,"WTG Kids Calling Smart watch With 4G Support, Live Loca...","₹1,329","₹5,999",77% off,Sponsored
12,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"₹1,099","₹3,995",72% off,"Wine Red Strap, Free Size"
13,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"₹1,099","₹3,995",72% off,"Blue Strap, Free Size"
14,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"₹1,099","₹3,995",72% off,"Teal Strap, Free Size"
15,Fire-Boltt Legend Bluetooth Calling with 1.39'' Round D...,₹999,"₹9,999",90% off,"Grey Strap, Free Size"
16,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchface...","₹1,099","₹7,999",86% off,Sponsored
17,Fire-Boltt Hunter 2.01 inch HD Display Buetooth Calling...,"₹1,199","₹14,999",92% off,Sponsored
18,Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"₹1,099","₹6,999",84% off,"Black Strap, Regular"
19,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"₹1,099","₹5,999",81% off,"Black Strap, Regular"
20,alt OG Supreme 1.96'' AMOLED Single Chip Calling 120 sp...,"₹1,599","₹14,999",89% off,Sponsored
21,Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Sma...,"₹1,099","₹9,999",89% off,Sponsored
22,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"₹1,099","₹3,995",72% off,"Beige Strap, Free Size"
